title,authors,venue,year,citations,type,ranking,impact_factor
A framework and middleware for application-level cloud bursting on top of infrastructure-as-a-service clouds,"P Leitner, Z Rostyslav, A Gambi, S Dustdar",2013 IEEE/ACM 6th International Conference on Utility and Cloud Computing …,2013,17,Conference,B,
Model-based adaptation of cloud computing applications,"C Inzinger, B Satzger, P Leitner, W Hummer, S Dustdar","Special Session on Model-driven Software Adaptation 2, 351-355",2013,16,Workshop,,
Fifty shades of grey in SOA testing,"F Wotawa, M Schulz, I Pill, S Jehan, P Leitner, W Hummer, S Schulte, P Hoenisch, S Dustdar","2013 IEEE Sixth International Conference on Software Testing, Verification …",2013,14,Conference,C,
"Decisions, Models, and Monitoring--A Lifecycle Model for the Evolution of Service-Based Systems","C Inzinger, W Hummer, I Lytra, P Leitner, H Tran, U Zdun, S Dustdar",2013 17th IEEE International Enterprise Distributed Object Computing …,2013,8,Conference,B,
The dark side of SOA testing: Towards testing contemporary SOAs based on criticality metrics,"P Leitner, S Schulte, S Dustdar, I Pill, M Schulz, F Wotawa",2013 5th International Workshop on Principles of Engineering Service …,2013,8,Workshop,,
Dynamic program code distribution in infrastructure-as-a-service clouds,"R Zabolotnyi, P Leitner, S Dustdar",2013 5th International Workshop on Principles of Engineering Service …,2013,5,Workshop,,
Identifying incompatible service implementations using pooled decision trees,"C Inzinger, W Hummer, B Satzger, P Leitner, S Dustdar","Proceedings of the 28th Annual ACM Symposium on Applied Computing, 485-492",2013,5,Conference,B,
Mining lifecycle event logs for enhancing service-based applications,"S Dustdar, P Leitner, FM Nardini, F Silvestri, G Tolomei","Data Mining: Concepts, Methodologies, Tools, and Applications, 658-668",2013,1,Book Chapter,,
Application-level performance monitoring of cloud services based on the complex event processing paradigm,"P Leitner, C Inzinger, W Hummer, B Satzger, S Dustdar",2012 Fifth IEEE International Conference on Service-Oriented Computing and …,2012,95,Conference,A,
Cost-efficient and application SLA-aware client side request scheduling in an infrastructure-as-a-service cloud,"P Leitner, W Hummer, B Satzger, C Inzinger, S Dustdar","2012 IEEE Fifth International Conference on Cloud Computing, 213-220",2012,89,Conference,B,
Cloudscale: a novel middleware for building transparently scaling cloud applications,"P Leitner, B Satzger, W Hummer, C Inzinger, S Dustdar","Proceedings of the 27th Annual ACM Symposium on Applied Computing, 434-440",2012,42,Conference,B,
Deriving a unified fault taxonomy for event-based systems,"W Hummer, C Inzinger, P Leitner, B Satzger, S Dustdar",Proceedings of the 6th acm international conference on distributed event …,2012,40,Conference,C,
Design by units: Abstractions for human and compute resources for elastic systems,"S Tai, P Leitner, S Dustdar","IEEE Internet Computing 16 (4), 84-88",2012,24,Journal,,5.0
Non-intrusive policy optimization for dependable and adaptive service-oriented systems,"C Inzinger, B Satzger, W Hummer, P Leitner, S Dustdar","Proceedings of the 27th Annual ACM Symposium on Applied Computing, 504-510",2012,10,Conference,B,
Cost-based prevention of violations of service level agreements in composed services using self-adaptation,"P Leitner, S Dustdar, B Wetzstein, F Leymann",2012 First International Workshop on European Software Services and Systems …,2012,7,Workshop,,
Towards identifying root causes of faults in service-based applications,"C Inzinger, W Hummer, B Satzger, P Leitner, S Dustdar","2012 IEEE 31st Symposium on Reliable Distributed Systems, 404-405",2012,5,Conference,B,
A monitoring data set for evaluating QoS-aware service-based systems,"P Leitner, W Hummer, S Dustdar",2012 4th International Workshop on Principles of Engineering Service …,2012,2,Workshop,,
Esc: Towards an elastic stream computing platform for the cloud,"B Satzger, W Hummer, P Leitner, S Dustdar","2011 IEEE 4th International Conference on Cloud Computing, 348-355",2011,99,Conference,B,
Identifying influential factors of business process performance using dependency analysis,"B Wetzstein, P Leitner, F Rosenberg, S Dustdar, F Leymann","Enterprise Information Systems 5 (1), 79-98",2011,90,Journal,,3.0
Dynamic migration of processing elements for optimized query execution in event-based systems,"W Hummer, P Leitner, B Satzger, S Dustdar","OTM Confederated International Conferences"" On the Move to Meaningful …",2011,21,Conference,B,
Ws-aggregation: distributed aggregation of web services data,"W Hummer, P Leitner, S Dustdar","Proceedings of the 2011 ACM Symposium on Applied Computing, 1590-1597",2011,21,Conference,B,
Test coverage of data-centric dynamic compositions in service-based systems,"W Hummer, O Raz, O Shehory, P Leitner, S Dustdar","2011 Fourth IEEE International Conference on Software Testing, Verification …",2011,19,Conference,C,
Stepwise and asynchronous runtime optimization of web service compositions,"P Leitner, W Hummer, B Satzger, S Dustdar","International Conference on Web Information Systems Engineering, 290-297",2011,7,Conference,B,
Distributed continuous queries over web service event streams,"W Hummer, B Satzger, P Leitner, C Inzinger, S Dustdar",2011 7th International Conference on Next Generation Web Services Practices …,2011,6,Workshop,,
SEPL—a domain-specific language and execution environment for protocols of stateful Web services,"W Hummer, P Leitner, S Dustdar","Distributed and Parallel Databases 29 (4), 277-307",2011,5,Journal,,2.5
"Monitoring, prediction and prevention of sla violations in composite services","P Leitner, A Michlmayr, F Rosenberg, S Dustdar","2010 IEEE International Conference on Web Services, 369-376",2010,217,Conference,A,
"End-to-end support for QoS-aware service selection, binding, and mediation in VRESCo","A Michlmayr, F Rosenberg, P Leitner, S Dustdar","IEEE Transactions on Services Computing 3 (3), 193-205",2010,139,Journal,,5.8
Metaheuristic optimization of large-scale qos-aware service compositions,"F Rosenberg, MB Müller, P Leitner, A Michlmayr, A Bouguettaya, S Dustdar","2010 IEEE International Conference on Services Computing, 97-104",2010,94,Conference,B,
Service composition,"G Baryannis, O Danylevych, D Karastoyanova, K Kritikos, P Leitner, F Rosenberg, B Wetzstein","Service research challenges and solutions for the future internet, 55-84",2010,41,Book Chapter,,
Preventing SLA violations in service compositions using aspect-based fragment substitution,"P Leitner, B Wetzstein, D Karastoyanova, W Hummer, S Dustdar, F Leymann","International Conference on Service-Oriented Computing, 365-380",2010,39,Conference,A,
