title,authors,venue,year,citations,ranking
Model-based adaptation of cloud computing applications,"C Inzinger, B Satzger, P Leitner, W Hummer, S Dustdar","Special Session on Model-driven Software Adaptation 2, 351-355",2013.0,16,
Publish/subscribe in the VRESCo SOA runtime,"A Michlmayr, P Leitner, F Rosenberg, S Dustdar",Proceedings of the second international conference on Distributed event …,2008.0,16,
A unified active learning framework for annotating graph data with application to software source code performance prediction,"P Samoaa, L Aronsson, A Longa, P Leitner, MH Chehreghani",arXiv preprint arXiv:2304.13032,2023.0,15,
Using microbenchmark suites to detect application performance changes,"M Grambow, D Kovalev, C Laaber, P Leitner, D Bermbach","IEEE Transactions on Cloud Computing 11 (3), 2575-2590",2022.0,15,
Sqa-profiles: Rule-based activity profiles for continuous integration environments,"M Brandtner, SC Müller, P Leitner, HC Gall","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and …",2015.0,15,A
VRESCo–Vienna Runtime Environment for Service-oriented Computing,"W Hummer, P Leitner, A Michlmayr, F Rosenberg, S Dustdar","Service Engineering: European Research Results, 299-324",2010.0,15,
Identifying web performance degradations through synthetic and real-user monitoring,"J CITO, D Gotowka, P Leitner, R Pelette, D Suljoti, S Dustdar","Journal of Web Engineering, 414-442",2015.0,14,
Fifty shades of grey in SOA testing,"F Wotawa, M Schulz, I Pill, S Jehan, P Leitner, W Hummer, S Schulte, ...","2013 IEEE Sixth International Conference on Software Testing, Verification …",2013.0,14,
Fault management based on peer-to-peer paradigms; a case study report from the celtic project madeira,"M Leitner, P Leitner, M Zach, S Collins, C Fahy",2007 10th IFIP/IEEE International Symposium on Integrated Network Management …,2007.0,14,
An empirical investigation on the competences and roles of practitioners in Microservices-based Architectures,"HM Ayas, R Hebig, P Leitner","Journal of Systems and Software 213, 112055",2024.0,13,
Crossfit: Fine-grained benchmarking of serverless application performance across cloud providers,"J Scheuner, R Deng, JP Steghöfer, P Leitner",2022 IEEE/ACM 15th International Conference on Utility and Cloud Computing …,2022.0,13,
